Is Managed,Manufacturer,Model,CPP BW,Serial Number,IP Address,Mac Address,Firmware Version 1,First Audit Date,Last Audit Date,Total Pages,Total Pages Mono,Total Pages Color,Total Cost Mono,TCM/Day
TRUE,HP,LaserJet MFP M426fdn,0.0192,PHB8J170SQ,10.157.55.55,FC-3F-DB-53-2E-5B,leslelx2:/work/jenkins/gitbuilder/workspace/phx,,,,,,,
FALSE,HP,LaserJet MFP M426fdn,0.0192,PHB8J170WL,10.157.49.108,FC-3F-DB-53-2E-5D,leslelx8:/var/lib/jenkins/jobs/gitbuilder/works,10/9/2018 1:17:32 PM,10/10/2019 1:18:34 PM,80653,80653,0,1548.5376,4.230968754
FALSE,HP,LaserJet MFP M426fdn,0.0192,PHB8J87HRK,10.157.54.54,EC-8E-B5-BF-7D-CE,leslelx25:/var/lib/jenkins/jobs/gitbuilder3/wor,9/10/2019 2:42:06 PM,10/10/2019 1:18:34 PM,15159,15159,0,291.0528,9.720556075
FALSE,HP,LaserJet MFP M426fdn,0.0192,PHB8J87HVG,10.157.22.51,EC-8E-B5-BF-6D-21,leslelx25:/var/lib/jenkins/jobs/gitbuilder3/wor,9/10/2019 2:42:06 PM,10/10/2019 1:18:34 PM,29495,29495,0,566.304,18.91337169
TRUE,HP,LaserJet MFP M426fdn,0.0192,PHB8J87HVT,10.157.59.66,EC-8E-B5-BF-3D-A3,leslelx25:/var/lib/jenkins/jobs/gitbuilder3/wor,10/9/2018 1:17:32 PM,10/10/2019 1:18:34 PM,3770,3770,0,72.384,0.197770104
FALSE,HP,LaserJet MFP M426fdn,0.0192,PHB8J87J3W,10.157.49.167,98-E7-F4-02-25-72,leslelx25:/var/lib/jenkins/jobs/gitbuilder3/wor,10/9/2018 1:17:32 PM,10/10/2019 1:18:34 PM,16812,16812,0,322.7904,0.881939254
FALSE,HP,LaserJet MFP M426fdw,0.0192,PHB8J58DZX,10.157.49.110,A0-8C-FD-14-09-D9,leslelx27:/var/lib/jenkins/jobs/gitbuilder3/wor,10/9/2018 9:17:37 AM,10/10/2019 1:18:34 PM,79235,79235,0,1521.312,4.154690739
TRUE,HP,LaserJet MFP M426fdw,0.0192,PHBLL4W401,10.157.55.55,B4-B6-86-7B-1B-5A,leslelx21:/work/jenkins/gitbuilder3/workspace/p,10/9/2018 1:17:32 PM,10/10/2019 1:18:34 PM,935,935,0,17.952,0.049049084
TRUE,HP,LaserJet MFP M527,0.014,MXBCK1Y113,10.157.49.115,30-E1-71-BA-BA-D6,2308209_000563,10/9/2018 1:17:32 PM,10/10/2019 1:18:34 PM,135579,135579,,1898.106,5.186071799
TRUE,HP,LaserJet MFP M527,0.014,MXBCKC117Q,10.157.59.50,48-BA-4E-DA-A5-65,2308214_000905,10/9/2018 9:17:37 AM,10/10/2019 1:18:34 PM,15679,15679,,219.506,0.599469107
FALSE,HP,LaserJet MFP M527,0.014,MXBCKC11G2,10.157.18.50,48-BA-4E-DA-95-B2,2308214_000905,9/10/2019 2:42:06 PM,9/13/2019 1:18:39 PM,58919,58919,,824.866,280.3713021
